,rcdts,total_incidents
4618,190222000262011,0.0
3869,130410820022001,5.0
2361,440630020032001,0.0
6385,060160840022005,0.0
275,050160570022008,0.0
7146,150162990252385,38.0
7398,160194270261002,56.0
973,150162990252198,9.0
5561,470980020262005,2.0
8704,500820600262001,1.0
5068,320380100261001,9.0
5681,500820700042001,0.0
7018,15016299025219C,44.0
4765,240320010262003,1.0
2560,490810410252010,11.0
2238,390550010261001,7.0
3107,041011220222007,25.0
146,041012050252086,1720.0
8121,320462580042001,6.0
7414,160194290262001,7.0
6124,041011220222015,0.0
1185,150162990252618,11.0
3134,041012050252022,171.0
3979,150162990252160,30.0
7293,15016299025278C,0.0
5894,56099033C041001,111.0
3200,050160210042015,12.0
950,150162990252159,26.0
2747,531020110262001,3.0
1210,150162990252800,74.0
2891,15016299025229C,0.0
6032,010050010262002,1.0
6658,070161550022004,218.0
3783,110150010262003,26.0
3871,130411780042001,0.0
4509,190220160022001,1.0
361,060160840022004,0.0
7887,280372250262003,0.0
6379,060160830022004,4.0
1581,190222040262017,0.0
4884,300020050262002,80.0
3999,150162990252193,1.0
4241,15016299025261C,7.0
1152,150162990252478,5.0
3905,150162990252052,25.0
8370,390550610252004,58.0
6,010010040262007,0.0
3320,050160640042001,0.0
6874,130410020042001,9.0
2018,330482050262021,51.0
7315,150162990252844,0.0
4386,160194280261011,106.0
7888,280372260262002,2.0
3621,070161490022006,1.0
78,030680120261002,5.0
7501,190220040022002,5.0
4583,190220890041003,24.0
1644,210281680261002,2.0
7915,300391760262008,18.0
62,030250400262006,0.0
7169,150162990252414,1.0
987,150162990252222,28.0
1051,150162990252324,34.0
336,050160690022001,1.0
3095,040041000262007,11.0
988,150162990252223,17.0
2219,350501410022006,11.0
3285,050160570022005,0.0
8450,410570090262020,0.0
8295,340491870261003,0.0
7069,150162990252273,12.0
6450,060160990022006,0.0
3460,060161020022003,0.0
8825,530900500022001,5.0
6034,010090640262001,15.0
1244,150162990252896,10.0
194,050160250021014,30.0
7236,150162990252510,1.0
8987,56099201U262004,29.0
4599,190221810041003,21.0
1118,150162990252422,2.0
2532,480723270262006,9.0
8897,540921180241021,127.0
128,041012050252029,50.0
2801,560990860052015,57.0
4215,150162990252502,3.0
6355,050160680022004,2.0
8406,400560070261002,7.0
3229,050160310021001,1.0
7555,190220440022013,0.0
5806,530900520022002,11.0
8504,440630460032001,0.0
5413,410570070262006,2.0
7587,190220610022002,0.0
8244,340490950261003,9.0
8199,340490600262005,8.0
8845,530901080022004,0.0
4902,300730500022002,7.0
766,110150010262006,1.0
7513,190220100022003,0.0
5432,410570100262006,14.0
5616,480723220261001,2.0
6060,030030010261001,10.0
630,070161550022002,13.0
367,060160870021006,5.0
7588,190220620021001,15.0
4322,150162990252898,2.0
4209,150162990252494,14.0
5076,320460020262002,0.0
2941,24032002C022001,0.0
9038,56099365U262014,9.0
4733,210281880262003,2.0
8938,560990860052011,10.0
667,070161670022004,0.0
5486,440630470042003,40.0
7038,150162990252229,1.0
7219,150162990252488,2.0
5481,440630470041004,27.0
248,050160540041019,0.0
5780,510841860252022,0.0
5433,410570100262011,16.0
1450,190220440022010,3.0
5227,340490950262008,1.0
4193,150162990252474,13.0
4114,150162990252366,82.0
5825,530901080022012,0.0
6408,060160890022008,9.0
1218,150162990252823,25.0
8720,500821100041006,71.0
9000,560992020222005,25.0
2888,15016299025224C,87.0
8560,470522200022001,0.0
2980,56099201U262006,64.0
7549,190220440021009,16.0
7147,150162990252386,3.0
5242,340491060022001,4.0
4643,190222030262015,0.0
4551,190220580021015,50.0
6246,050160340042003,0.0
7168,150162990252413,21.0
447,060161020022001,5.0
4660,190222040262010,0.0
5090,320461110251008,448.0
2634,500821890221007,477.0
4913,300910370042003,3.0
7678,190222040262008,1.0
7165,15016299025240C,0.0
3272,050160540042018,0.0
6989,150162990252153,17.0
5910,560990860052004,75.0
