,rcdts,incidents_per_pupil
4618,190222000262011,0.0
3869,130410820022001,0.02717391304347826
2361,440630020032001,0.0
6385,060160840022005,0.0
275,050160570022008,0.0
7146,150162990252385,0.06563039723661486
7398,160194270261002,0.06588235294117648
973,150162990252198,0.014900662251655629
5561,470980020262005,0.004914004914004914
8704,500820600262001,0.004629629629629629
5068,320380100261001,0.0430622009569378
5681,500820700042001,0.0
7018,15016299025219C,0.10501193317422435
4765,240320010262003,0.002932551319648094
2560,490810410252010,0.04119850187265917
2238,390550010261001,0.03535353535353535
3107,041011220222007,0.08333333333333333
146,041012050252086,1.7269076305220883
8121,320462580042001,0.014285714285714285
7414,160194290262001,0.03954802259887006
6124,041011220222015,0.0
1185,150162990252618,0.03089887640449438
3134,041012050252022,0.5551948051948052
3979,150162990252160,0.019736842105263157
7293,15016299025278C,0.0
5894,56099033C041001,0.12251655629139073
3200,050160210042015,0.02494802494802495
950,150162990252159,0.06220095693779904
2747,531020110262001,0.01948051948051948
1210,150162990252800,0.0592
2891,15016299025229C,0.0
6032,010050010262002,0.003289473684210526
6658,070161550022004,0.6566265060240963
3783,110150010262003,0.05168986083499006
3871,130411780042001,0.0
4509,190220160022001,0.0024390243902439024
361,060160840022004,0.0
7887,280372250262003,0.0
6379,060160830022004,0.006745362563237774
1581,190222040262017,0.0
4884,300020050262002,0.35398230088495575
3999,150162990252193,0.0035460992907801418
4241,15016299025261C,0.012962962962962963
1152,150162990252478,0.0099601593625498
3905,150162990252052,0.05
8370,390550610252004,0.12691466083150985
6,010010040262007,0.0
3320,050160640042001,0.0
6874,130410020042001,0.022058823529411766
2018,330482050262021,0.1495601173020528
7315,150162990252844,0.0
4386,160194280261011,0.17491749174917492
7888,280372260262002,0.008032128514056224
3621,070161490022006,0.0033444816053511705
78,030680120261002,0.014970059880239521
7501,190220040022002,0.013404825737265416
4583,190220890041003,0.03508771929824561
1644,210281680261002,0.00784313725490196
7915,300391760262008,0.04326923076923077
62,030250400262006,0.0
7169,150162990252414,0.0026109660574412533
987,150162990252222,0.07052896725440806
1051,150162990252324,0.14285714285714285
336,050160690022001,0.001890359168241966
3095,040041000262007,0.039711191335740074
988,150162990252223,0.023709902370990237
2219,350501410022006,0.022494887525562373
3285,050160570022005,0.0
8450,410570090262020,0.0
8295,340491870261003,0.0
7069,150162990252273,0.028846153846153848
6450,060160990022006,0.0
3460,060161020022003,0.0
8825,530900500022001,0.016611295681063124
6034,010090640262001,0.09615384615384616
1244,150162990252896,0.012706480304955527
194,050160250021014,0.033185840707964605
7236,150162990252510,0.001336898395721925
8987,56099201U262004,0.07360406091370558
4599,190221810041003,0.03595890410958904
1118,150162990252422,0.0025188916876574307
2532,480723270262006,0.04035874439461883
8897,540921180241021,0.1854014598540146
128,041012050252029,0.14204545454545456
2801,560990860052015,0.09693877551020408
4215,150162990252502,0.014018691588785047
6355,050160680022004,0.005865102639296188
8406,400560070261002,0.023255813953488372
3229,050160310021001,0.003676470588235294
7555,190220440022013,0.0
5806,530900520022002,0.024774774774774775
8504,440630460032001,0.0
5413,410570070262006,0.006006006006006006
7587,190220610022002,0.0
8244,340490950261003,0.01592920353982301
8199,340490600262005,0.03571428571428571
8845,530901080022004,0.0
4902,300730500022002,0.029166666666666667
766,110150010262006,0.005025125628140704
7513,190220100022003,0.0
5432,410570100262006,0.038781163434903045
5616,480723220261001,0.021505376344086023
6060,030030010261001,0.10752688172043011
630,070161550022002,0.03291139240506329
367,060160870021006,0.010660980810234541
7588,190220620021001,0.04143646408839779
4322,150162990252898,0.0038535645472061657
4209,150162990252494,0.016908212560386472
5076,320460020262002,0.0
2941,24032002C022001,0.0
9038,56099365U262014,0.018367346938775512
4733,210281880262003,0.00684931506849315
8938,560990860052011,0.023529411764705882
667,070161670022004,0.0
5486,440630470042003,0.0686106346483705
7038,150162990252229,0.0026041666666666665
7219,150162990252488,0.002190580503833516
5481,440630470041004,0.03576158940397351
248,050160540041019,0.0
5780,510841860252022,0.0
5433,410570100262011,0.045454545454545456
1450,190220440022010,0.010948905109489052
5227,340490950262008,0.0017761989342806395
4193,150162990252474,0.025145067698259187
4114,150162990252366,0.1670061099796334
5825,530901080022012,0.0
6408,060160890022008,0.02694610778443114
1218,150162990252823,0.06720430107526881
8720,500821100041006,0.2563176895306859
9000,560992020222005,0.04111842105263158
2888,15016299025224C,0.17159763313609466
8560,470522200022001,0.0
2980,56099201U262006,0.141280353200883
7549,190220440021009,0.016753926701570682
7147,150162990252386,0.008333333333333333
5242,340491060022001,0.02702702702702703
4643,190222030262015,0.0
4551,190220580021015,0.11441647597254005
6246,050160340042003,0.0
7168,150162990252413,0.02346368715083799
447,060161020022001,0.011312217194570135
4660,190222040262010,0.0
5090,320461110251008,0.64
2634,500821890221007,0.5482758620689655
4913,300910370042003,0.012
7678,190222040262008,0.0018587360594795538
7165,15016299025240C,0.0
3272,050160540042018,0.0
6989,150162990252153,0.035269709543568464
5910,560990860052004,0.11312217194570136
4247,150162990252637,0.07
