CountyName,RecType,"Region-2
County-3
District-4",Type,School,RCDTS,FacilityName,NCES ID
Adams,Dist,010010010,26,0000,010010010260000,Payson CUSD 1,1730990
Adams,Dist,010010020,26,0000,010010020260000,Liberty CUSD 2,1722770
Adams,Dist,010010030,26,0000,010010030260000,Central CUSD 3,1708220
Adams,Dist,010010040,26,0000,010010040260000,CUSD 4,1725590
Adams,Dist,010011720,22,0000,010011720220000,Quincy SD 172,1733000
Brown,Dist,010050010,26,0000,010050010260000,Brown County CUSD 1,1727300
Cass,Dist,010090150,26,0000,010090150260000,Beardstown CUSD 15,1705310
Cass,Dist,010090640,26,0000,010090640260000,Virginia CUSD 64,1740410
Cass,Dist,010092620,26,0000,010092620260000,A-C Central CUSD 262,1700105
Morgan,Dist,010690010,26,0000,010690010260000,Franklin CUSD 1,1715750
Morgan,Dist,010690060,26,0000,010690060260000,Waverly CUSD 6,1741280
Morgan,Dist,010690110,26,0000,010690110260000,Meredosia-Chambersburg CUSD 11,1725680
Morgan,Dist,010690270,26,0000,010690270260000,Triopia CUSD 27,1710830
Morgan,Dist,010691170,22,0000,010691170220000,Jacksonville SD 117,1720280
Pike,Dist,010750030,26,0000,010750030260000,Pleasant Hill CUSD 3,1731890
Pike,Dist,010750040,26,0000,010750040260000,Griggsville-Perry CUSD 4,1717790
Pike,Dist,010750100,26,0000,010750100260000,Pikeland CUSD 10,1731710
Pike,Dist,010750120,26,0000,010750120260000,Western CUSD 12,1701387
Scott,Dist,010860010,26,0000,010860010260000,Winchester CUSD 1,1742660
Scott,Dist,010860020,26,0000,010860020260000,Scott-Morgan CUSD 2,1706600
Bond,Dist,030030010,26,0000,030030010260000,Mulberry Grove CUSD 1,1727450
Bond,Dist,030030020,26,0000,030030020260000,Bond County CUSD 2,1717730
Christian,Dist,030110010,26,0000,030110010260000,Morrisonville CUSD 1,1726760
Christian,Dist,030110030,26,0000,030110030260000,Taylorville CUSD 3,1738700
Christian,Dist,030110040,26,0000,030110040260000,Edinburg CUSD 4,1713410
Christian,Dist,030110080,26,0000,030110080260000,Pana CUSD 8,1730630
Christian,Dist,030110140,24,0000,030110140240000,South Fork SD 14,1736640
Effingham,Dist,030250100,26,0000,030250100260000,Altamont CUSD 10,1703510
Effingham,Dist,030250200,26,0000,030250200260000,Beecher City CUSD 20,1705460
Effingham,Dist,030250300,26,0000,030250300260000,Dieterich CUSD 30,1712240
Effingham,Dist,030250400,26,0000,030250400260000,Effingham CUSD 40,1713560
Effingham,Dist,030250500,26,0000,030250500260000,Teutopolis CUSD 50,1738760
Fayette,Dist,030262010,26,0000,030262010260000,Brownstown CUSD 201,1707440
Fayette,Dist,030262020,26,0000,030262020260000,St Elmo CUSD 202,1737230
Fayette,Dist,030262030,26,0000,030262030260000,Vandalia CUSD 203,1740140
Fayette,Dist,030262040,26,0000,030262040260000,Ramsey CUSD 204,1733090
Montgomery,Dist,030680020,26,0000,030680020260000,Panhandle CUSD 2,1730660
Montgomery,Dist,030680030,26,0000,030680030260000,Hillsboro CUSD 3,1719200
Montgomery,Dist,030680120,26,0000,030680120260000,Litchfield CUSD 12,1723250
Montgomery,Dist,030680220,26,0000,030680220260000,Nokomis CUSD 22,1728560
Boone,Dist,040041000,26,0000,040041000260000,Belvidere CUSD 100,1705790
Boone,Dist,040042000,26,0000,040042000260000,North Boone CUSD 200,1728700
